ITEM,description,WIDTH,UPC,cost,chop,join,group
603676,CRANBROOK DK WAL ANGLE,2.125,720472150705,12.43,20.88,21.88,Wood
609405,"LARS 3 1/4"" GRILLE ANTQ SILVER",3.25,,17.05,24.56,25.56,Wood
609406,"LARS 3 1/4"" GRILLE ANTQ GOLD",3.25,,16.75,24.12,25.12,Wood
611405,"LARS 3 9/16"" PANEL SLVR & BLK",3.5625,,19.73,28.4,29.4,Wood
611406,"LARS 3 9/16"" PANEL GLD & BLACK",3.5625,,19.73,28.4,29.4,Wood
613183,"CRANBROOK WHT WASH MAPLE 3/4""",0.75,720472197632,16.82,26.65,27.65,Wood
613674,CRANBROOK EBONIZED WAL CAP,0.75,720472150729,10.98,18.44,19.44,Wood
613675,CRANBROOK EBONIZED NAT CAP,0.75,,11.02,18.52,19.52,Wood
613676,CRANBROOK DK WAL CAP,0.75,720472150743,10.34,17.37,18.37,Wood
613677,CRANBROOK NAT MAPLE CAP,0.75,720472150750,13.09,21.99,22.99,Wood
614410,"DILLON WALNUT BEAM 2 1/16""",2.3125,,22.57,37.93,38.93,Wood
614420,"DILLON ANTIQUE TIMBER 2 1/16""",2.3125,,22.57,37.93,38.93,Wood
614430,"DILLON WEATHERED GREY 2 1/16""",2.3125,,22.57,37.93,38.93,Wood
616110,"ALLOY 1 3/4"" FLOAT NICKEL",1.75,,15.44,25.95,26.95,Wood
616111,"ALLOY 1 3/4"" FLOAT GUNMETAL",1.75,,15.44,25.95,26.95,Wood
616112,"ALLOY 1 3/4"" FLOAT SOFT GOLD",1.75,,15.44,25.95,26.95,Wood
616113,"ALLOY 1 3/4"" FLOAT CHAMPAGNE",1.75,,15.44,25.95,26.95,Wood
616361,ANTICA-WALNUT,2.125,720472141246,17.63,29.62,30.62,Wood
616362,ANTICA-BLACK,2.125,720472141253,17.63,29.62,30.62,Wood
616904,"METALIA II BLK SLIM FLO 1 3/4""",1.75,,15.09,24.14,25.14,Wood
616905,"METALIA II SIL SLIM FLO 1 3/4""",1.75,,15.09,24.14,25.14,Wood
616906,"METALIA II GLD SLIM FLO 1 3/4""",1.75,,15.09,24.14,25.14,Wood
616907,METALIA II CHMP SLIM FLO 1 3/4,1.75,,15.09,24.14,25.14,Wood
616908,METALIA II BRAS SLIM FLO 1 3/4,1.75,,15.09,24.14,25.14,Wood
616909,METALIA II GNMT SLIM FLO 1 3/4,1.75,,15.09,24.14,25.14,Wood
617482,"JASPER BLACK 3""",3,,10.18,17.09,18.09,Wood
617484,"JASPER WHITE 3""",3,,10.26,17.24,18.24,Wood
618184,"L7 WHITE SILVER FLOAT 2""",1.625,,24.78,41.63,42.63,Wood
618185,"L7 GOLD FLOAT 2""",1.625,,22.95,38.55,39.55,Wood
619452,"MUSEO GOLD SCOOP 2 1/4""",2.25,,11.46,18.33,19.33,Wood
619453,"MUSEO SILVER SCOOP 2 1/4""",2.25,,11.46,18.33,19.33,Wood
619454,"MUSEO BLACK SCOOP 2 1/4""",2.25,,10.22,16.35,17.35,Wood
620100,"HAVANA SCOOP TOFFEE 2 7/8""",2.875,,15.52,26.07,27.07,Wood
620200,"HAVANA SCOOP COCOA 2 7/8""",2.875,,15.52,26.07,27.07,Wood
621870,"COLOSSEUM II SOFT PEWTER 2""",2,,14.18,23.82,24.82,Wood
621871,"COLOSSEUM II TARN SILVER 2""",2,,14.18,23.82,24.82,Wood
621872,"COLOSSEUM II MOON GOLD 2""",2,,14.18,23.82,24.82,Wood
621874,"COLOSSEUM II TITANIUM 2""",2,,14.18,23.82,24.82,Wood
621876,"COLOSSEUM II STEEL BLUE 2""",2,,14.18,23.82,24.82,Wood
621877,"COLOSSEUM SLOPE BLK OXIDE 2""",2,720472197236,14.18,23.82,24.82,Wood
623181,CRANBROOK 2 CHERRY FLOAT,1.875,720472168021,15.04,25.26,26.26,Wood
623183,CRANBROOK 2 WHT MAPLE FLOAT,1.875,720472168014,16.83,28.28,29.28,Wood
623674,CRANBROOK EBONIZED WAL FLOAT,1.875,720472150767,14.45,24.29,25.29,Wood
623675,"CRANBROOK NAT WAL FLOAT 2""",1.875,,13.79,23.17,24.17,Wood
