ITEM,description,WIDTH,cost,group
B8522,COBBLESTONE ALPHA 32 X 40,32x40,35.32,Matboard
B8525,ALMOND ALPHA 32 X 40,32x40,35.32,Matboard
B8526,ALPHAMAT INDIGO 32X40,32x40,35.32,Matboard
B8526L,INDIGO ALPHA 40 X 60,40x60,86.13,Matboard
B8527,ALMANDINE ALPHAMAT 32X40,32x40,35.32,Matboard
B8527L,ALMANDINE ALPHA 40X60,40x60,68.35,Matboard
B8528,GARNET ALPHAMAT 32X40,32x40,35.32,Matboard
B8531,SPICE ALPHAMAT 32X40,32x40,35.37,Matboard
B8534,FLEMISH BLUE ALPHAMAT 32X40,32x40,34.93,Matboard
B8535,MOROCCAN SAND ALPHAMAT 32X40,32x40,35.32,Matboard
B8536,HEATHER MIST ALPHAMAT 32X40,32x40,35.31,Matboard
B8539,BRIARWOOD ALPHAMAT 32X40,32x40,35.32,Matboard
B8540,TARTAN GREEN ALPHAMAT 32X40,32x40,35.34,Matboard
B8540L,TARTAN GREEN ALPHA 40X60,40x60,68.35,Matboard
B8551,BALTIC GREEN ALPHAMAT 32X40,32x40,35.32,Matboard
B8552,CARMINE ALPHAMAT 32X40,32x40,35.31,Matboard
B85533,VINTAGE WHT 40X60 SECT LIN,40x60,112.31,Matboard
B85539,40x60 SEL JUTE CREAM,40x60,131.7,Matboard
B85540,40x60 SEL JUTE BARNWOOD,40x60,131.7,Matboard
B8555,NIMBUS ALPHAMAT 32X40,32x40,35.32,Matboard
B8556,KIRKWOOD ALPHAMAT 32X40,32x40,35.32,Matboard
B8559,PHOTO WHITE ALPHAMAT 32X40,32x40,35.32,Matboard
B8559L,PHOTO WHITE ALPHA 40 X 60,40x60,86.13,Matboard
B8563,TAUPE ALPHAMAT 32X40,32x40,35.32,Matboard
B85636,40x60 SEL SDE PURPLE TORCH,40x60,102.17,Matboard
B85638,40x60 SEL SDE BLUE TILE,40x60,102.17,Matboard
B8564,POWDER ROSE ALPHAMAT 32X40,32x40,35.31,Matboard
B8565,OLDE ROSE ALPHAMAT 32X40,32x40,35.36,Matboard
B85654,40x60 SEL JUTE NATURAL,40x60,131.7,Matboard
B85660,40X60 WHT SHIMR LINEN SE,40x60,124.17,Matboard
B85661,40X60 IVRY SHIMR LINN SE,40x60,122.94,Matboard
B8567,DUSK GREY ALPHAMAT 32X40,32x40,35.32,Matboard
B8570,ICE BLUE ALPHAMAT 32X40,32x40,35.32,Matboard
B8570L,ICE BLUE ALPHAMAT 40X60,40x60,86.13,Matboard
B8571,HUNTER GREEN ALPHAMAT 32X40,32x40,35.32,Matboard
B8572,BLUE SPRUCE ALPHAMAT 32X40,32x40,35.32,Matboard
B8573,TAPESTRY ALPHAMAT 32X40,32x40,35.32,Matboard
B8574,SAPPHIRE ALPHAMAT 32X40,32x40,35.32,Matboard
B8583,PALE MAUVE ALPHAMAT 32X40,32x40,35.32,Matboard
B8584,PERIWINKLE ALPHAMAT 32X40,32x40,35.31,Matboard
B8585,JONQUIL ALPHAMAT 32X40,32x40,35.31,Matboard
B85853,40X60 EBNY SHIMR LINN SE,40x60,124.17,Matboard
B8586,IRIS ALPHAMAT 32X40,32x40,35.32,Matboard
B8589,TEAL BLUE ALPHAMAT 32X40,32x40,35.34,Matboard
B8591,RIGHT RED ALPHAMAT 32X40,32x40,35.31,Matboard
B8592,BORDEAUX ALPHAMAT 32X40,32x40,35.32,Matboard
B8593,STEEL GREY ALPHAMAT 32X40,32x40,35.32,Matboard
B8597,FLAGSTONE ALPHAMAT 32X40,32x40,35.31,Matboard
B8629,FRESH HAY ALPHARAG 4PL 32X40,32x40,71.85,Matboard
B8632,WHITE 2-PLY ALPHARAG 32X40,32x40,24.45,Matboard
B8634,WHITE 4-PLY ALPHARAG 32X40,32x40,56.29,Matboard
B86348PL,WHITE 8-PLY ALPHARAG 40X60,40x60,187.85,Matboard
B8634L,WHITE 4-PLY ALPHARAG 40X60,40x60,101.53,Matboard
B8640,ANTIQUE WHITE ALPHARAG 4-PLY,32x40,56.25,Matboard
B86408P,ANT WHT 8PL ALPHRG 32X40,32x40,110.57,Matboard
B8640L,ANT. WHT4-PLY ALPHARA40X60,40x60,101.53,Matboard
B8642,CREAM 4-PLY ALPHARAG 32X40,32x40,60.57,Matboard
B8643,DOVEGRE 4-PLY ALPHARA32X40,32x40,60.5,Matboard
B8644,EBONY 4-PLY ALPHARAG 32X40,32x40,64.21,Matboard
B8644L,EBONY 4-PLY ALPHARAG 40X60,40x60,110.01,Matboard
B8645,IVORY 4-PLY ALPHARAG 32X40,32x40,60.5,Matboard
B8646,KHAKI 4-PLY ALPHARAG 32X40,32x40,60.5,Matboard
