item,cost,chop,join,width,description,group
850-885,6.99,11.18,13.42,0.75,"3/4"" Black w/Gold Step Lip",Wood
850-886,6.99,11.18,13.42,0.75,"3/4"" Black w/Silver Step Lip",Wood
851-829,5.15,8.24,9.89,0.63,"5/8"" White w/Gold Step Lip",Wood
851-882,5.99,9.76,11.71,,"9/16"" Gold w/Black Lip",Wood
851-883,5.99,9.76,11.71,,"9/16"" Silver w/Black Lip",Wood
851-885,5.15,8.24,9.89,0.63,"5/8"" Black w/Gold Step Lip",Wood
851-886,5.15,8.24,9.89,0.63,"5/8"" Black w/Silver Step Lip",Wood
856-734,14.12,22.59,27.11,1.38,"1-3/8"" Antique Gold",Wood
856-735,14.12,22.59,27.11,1.38,"1-3/8"" Antique Silver",Wood
926-38,27.46,41.18,49.42,2.88,"<GG> 2-7/8"" Gold Smooth",Wood
926-39,27.46,41.18,49.42,2.88,"<GG> 2-7/8"" Silver Smooth",Wood
929-39,9.25,14.81,17.77,1,"<GG> 1"" Silver Smooth",Wood
956-387,17.97,27.85,33.42,2.5,"2-1/2"" Crescent Gold w/ Stain",Wood
956-388,17.97,27.85,33.42,2.5,"2-1/2"" Crescent Silver w/ Black",Wood
956-389,17.97,27.85,33.42,2.5,"2-1/2"" Crescent Sterling Silver w/ White",Wood
956-390,17.97,27.85,33.42,2.5,"<GG> 2-1/2"" Crescent Silver w/ Wash",Wood
956-391,17.97,27.85,33.42,2.5,"<GG> 2-1/2"" Crescent Gold w/ Wash",Wood
960-145,7.66,12.32,14.78,1,"1"" Opera Gold",Wood
960-146,7.66,12.32,14.78,1,"1"" Opera Silver",Wood
960-147,7.66,12.32,14.78,1,"1"" Opera Black Gold Lip",Wood
960-148,7.66,12.32,14.78,1,"1"" Opera Black Silver Lip",Wood
960-149,7.66,12.32,14.78,1,"1"" Opera White Silver Lip",Wood
997-396,19.04,27.62,33.14,3.25,"<GG> 3-1/4"" Chestnut Wash Over Silver",Wood
997-399,19.04,27.62,33.14,3.25,"<GG> 3-1/4"" Ivory Wash Over Silver",Wood
1120-307,18.84,30.14,36.17,,"2-7/8"" Dark Chocolate w/Copper",Wood
1121-307,15.82,25.31,30.37,,"2-1/4"" Dark Chocolate w/Copper",Wood
1122-307,11.29,18.06,21.67,,"1-1/2"" Dark Chocolate w/Copper",Wood
1141,5.48,8.76,10.51,0.75,"3/4"" Contemporary Dark Gray w/Silver",Wood
1142,5.48,8.76,10.51,0.75,"3/4"" Contemporary Gray w/Silver",Wood
