Item,Description,Price,FortybySixty
C85579,ETCHED BLACK 40 X 60,58.53,
C85598,ETCHED BLACK 40 X 60,42.89,
C85638,TILE BLUE SUEDE 40 X 60 BT,90.51,
C85636,PURPLE TORCH SUEDE 40 X 60 BT,90.51,
C85654,NATURAL JUKE 40 X 60 BT,123.77,
C85660,WHITE SHIMMER 40 X 60 BT,121.52,
C85661,IVORY SHIMMER 40 X 60 BT,121.52,
C85700,VIVID WHITE CON. SOLIDS 40 X 60,47.74,
C85702,WHITE CONSERVATION SOLIDS 40 X 60,47.74,
C85703,ANTIQUE WHITE CON. SOLIDS 40 X 60,47.74,
C85704,CREAM CONSERVATION SOLIDS 40 X 60,47.74,
