ITEM,description,fortybysixty,UPC,cost,group
C9545,SELECT GLACIER 32X40,32x40,93924137617,15.26,Matboard
C9546,SELECT BLUE SATIN 32X40,32x40,93924137624,15.26,Matboard
C9547,SELECT IN A FOG 32X40,32x40,93924137631,15.26,Matboard
C9548,SELECT BLUE LILAC 32X40,32x40,93924137648,15.26,Matboard
C9549,SELECT INLET 32X40,32x40,93924137655,15.26,Matboard
C9550,SELECT CABANA 32X40,32x40,93924137662,15.26,Matboard
C9551,SELECT BLUE WAVE 32X40,32x40,93924137679,15.26,Matboard
C9552,SELECT NYPD 32X40,32x40,93924137686,15.26,Matboard
C9553,SELECT MOODY BLUE 32X40,32x40,93924137693,15.26,Matboard
C9554,SELECT PHARAOH 32X40,32x40,93924137709,15.26,Matboard
C9555,SELECT STEEL DRUM 32X40,32x40,93924137716,15.26,Matboard
C9556,SELECT TEMPEST 32X40,32x40,93924137723,15.26,Matboard
C9557,SELECT PIGEON 32X40,32x40,93924137730,15.26,Matboard
C9558,SELECT GEODE 32X40,32x40,93924137747,15.26,Matboard
C9560,SELECT EASTER EGG 32X40,32x40,93924137761,15.26,Matboard
C9562,SELECT GRAPE JELLY 32X40,32x40,93924137785,15.26,Matboard
C9564,SELECT PURPLE MOUNTAIN 32X40,32x40,93924137808,15.26,Matboard
C9565,SELECT QUARRY 32X40,32x40,93924137815,15.26,Matboard
C9567,SELECT COTTON CANDY 32X40,32x40,93924137839,15.26,Matboard
C9570,SELECT SUSHI 32X40,32x40,93924137860,15.26,Matboard
C9571,SELECT BANDAGE 32X40,32x40,93924137877,15.26,Matboard
C9574,SELECT MAROONED 32X40,32x40,93924137907,15.26,Matboard
C9576,SELECT VALENTINE 32X40,32x40,93924137921,15.26,Matboard
C9579,SELECT MUDSLIDE 32X40,32x40,93924137952,15.26,Matboard
C9581,SELECT HOT SAUCE 32X40,32x40,93924137976,15.26,Matboard
C9584,SELECT CATCHER'S MITT 32X40,32x40,93924138003,15.26,Matboard
C9585,SELECT ROOT BEER 32X40,32x40,93924138010,15.26,Matboard
C9586,SELECT BROWN SUGAR 32X40,32x40,93924138027,15.26,Matboard
C9587,SELECT MILK CHOCOLATE 32X40,32x40,93924138034,15.26,Matboard
C9590,SELECT FRESH BREW 32X40,32x40,93924138065,15.26,Matboard
C9591,SELECT TOP SOIL 32X40,32x40,93924138072,15.26,Matboard
C9592,SELECT BLIZZARD 32X40,32x40,93924138089,15.26,Matboard
C9593,SELECT GRAVEL ROAD 32X40,32x40,93924138096,15.26,Matboard
C9594,SELECT CONCRETE 32X40,32x40,93924138102,15.26,Matboard
C9595,SELECT URBAN 32X40,32x40,93924138119,15.26,Matboard
C9596,SELECT CUBICLE 32X40,32x40,93924138126,15.26,Matboard
C9597,SELECT FIELD MOUSE 32X40,32x40,93924138133,15.26,Matboard
C9598,SELECT BEFORE DARK 32X40,32x40,93924138140,15.26,Matboard
C9599,SELECT AFTER DARK 32X40,32x40,93924138157,15.26,Matboard
C960,C960 WHITE 32X40,32x40,93924200496,10.23,Matboard
C9600,SELECT BATTER 32X40,32x40,93924140181,15.26,Matboard
C9601,SELECT SANDPAPER 32X40,32x40,93924140198,15.26,Matboard
C9602,SELECT GUACAMOLE 32X40,32x40,93924140204,15.26,Matboard
C9603,SELECT UNDERBRUSH 32X40,32x40,93924140211,15.26,Matboard
C9604,SELECT BLARNEY 32X40,32x40,93924140228,15.19,Matboard
C9605,SELECT TEALY DAN 32X40,32x40,93924140235,15.26,Matboard
C9606,SELECT JAWS 32X40,32x40,93924140242,15.26,Matboard
C9607,SELECT BLUE CHIP 32X40,32x40,93924140259,15.26,Matboard
C9608,SELECT SWEET TART 32X40,32x40,93924140266,15.26,Matboard
C961,C961 CREAM 32X40,32x40,93924200502,13.64,Matboard
C9610,SELECT CODE RED 32X40,32x40,93924140280,15.26,Matboard
