item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
1251C,3/4 BLACK DIPLOMA FRAME,1.98,3.56,4.45, 5/16, 3/4 ,Wood
1252C,"1"" BLACK & GOLD DIPLOMA FRAME",2.69,4.76,5.95, 5/16,1,Wood
140-7007,1 1/8 GOLD STELLA,5.01,9.77,12.70, 5/8 ,1  1/8 ,Wood
140-7008,1 1/8 SILVER STELLA,5.01,9.77,12.70, 5/8 ,1  1/8 ,Wood
140-7009,1 1/8 PEWTER STELLA,5.01,9.77,12.70, 5/8 ,1  1/8 ,Wood
140-7011,1 1/8 WHITE STELLA,5.01,9.77,12.70, 5/8 ,1  1/8 ,Wood
140-7012,1 1/8 BRONZE STELLA,5.01,9.77,12.70, 5/8 ,1  1/8 ,Wood
141-7011,1 1/2 WHITE STELLA,6.43,12.54,16.30,1,1  1/2 ,Wood
203-426,1 BLACK & GOLD,2.03,3.97,5.16, 1/2 ,1,Wood
250-1011,7/8 WHITE LINO,4.33,8.44,10.97, 9/16, 7/8 ,Wood
250-1013,7/8 GREY PURPLE LINO,4.33,8.44,10.97, 9/16, 7/8 ,Wood
250-1015,7/8 BRONZE LINO,4.33,8.44,10.97, 9/16, 7/8 ,Wood
250-1016,7/8 DARK GREY LINO,4.33,8.44,10.97, 9/16, 7/8 ,Wood
250-1017,7/8 BLUE JEAN LINO,4.33,8.44,10.97, 9/16, 7/8 ,Wood
251-1011,2 WHITE LINO,6.41,12.50,16.26, 5/8 ,2,Wood
251-1013,2 DARK PURPLE LINO,6.41,12.50,16.26, 5/8 ,2,Wood
251-1015,2 BRONZE LINO,6.41,12.50,16.26, 5/8 ,2,Wood
251-1016,2 DARK GREY LINO,6.41,12.50,16.26, 5/8 ,2,Wood
251-1017,2 BLUE JEAN LINO,6.41,12.50,16.26, 5/8 ,2,Wood
260-7006,3/4 GREEN AQUA,2.08,7.70,10.01, 9/16, 3/4 ,Wood
261-7006,1 1/2 GREEN AQUA,6.41,12.50,16.26, 3/4 ,1  1/2 ,Wood
261-7007,1 1/2 DARK CHAMPAGNE AQUA,6.41,12.50,16.26, 3/4 ,1  1/2 ,Wood
261-7008,1 1/2 PEWTER AQUA,6.41,12.50,16.26, 3/4 ,1  1/2 ,Wood
261-7009,1 1/2 BRONZE AQUA,6.41,12.50,16.26, 3/4 ,1  1/2 ,Wood
261-7010,1 1/2 BLACK AQUA,6.41,12.50,16.26, 3/4 ,1  1/2 ,Wood
450-1007,1 5/8 GOLD POSITANO,6.75,13.17,17.12, 5/8 ,1  5/8 ,Wood
450-1008,1 5/8 SILVER POSITANO,6.75,13.17,17.12, 5/8 ,1  5/8 ,Wood
450-1010,1 5/8 BLACK POSITANO,6.75,13.17,17.12, 5/8 ,1  5/8 ,Wood
5283-2426,1 1/2 WALNUT BASQUE,4.45,8.67,11.27, 1/2 ,1  1/2 ,Wood
730-6007,3/4 GOLD CLASSICO,5.51,10.74,13.96, 1/2 , 3/4 ,Wood
730-6008,3/4 PEWTER CLASSICO,5.51,10.74,13.96, 1/2 , 3/4 ,Wood
730-6009,3/4 CHAMPAGNE SILVER CLASSICO,5.51,10.74,13.96, 1/2 , 3/4 ,Wood
731-6007,1 1/2 GOLD CLASSICO,8.14,15.87,20.63, 1/2 ,1  1/2 ,Wood
731-6008,1 1/2 PEWTER CLASSICO,8.14,15.87,20.63, 1/2 ,1  1/2 ,Wood
731-6009,1 1/2 CHAMPAGNE SILVER CLASSIC,8.14,15.87,20.63, 1/2 ,1  1/2 ,Wood
731-6013,1 1/2 ROSE GOLD CLASSICO,8.14,15.87,20.63, 1/2 ,1  1/2 ,Wood
7430,7/8 SILVER REGAL,5.75,10.35,12.94,89/95, 7/8 ,Wood
7440,7/8 GOLD REGAL,5.75,10.35,12.94,89/95, 7/8 ,Wood
7459,7/8 BLACK REGAL,5.75,10.35,12.94,89/95, 7/8 ,Wood
7460,7/8 WHITE REGAL,5.75,10.35,12.94,89/95, 7/8 ,Wood
7530,5/8 SILVER FLORA,5.51,9.92,12.41,89/95, 5/8 ,Wood
7540,5/8 GOLD FLORA,5.51,9.92,12.41,89/95, 5/8 ,Wood
7559,5/8 BLACK FLORA,5.51,9.92,12.41,89/95, 5/8 ,Wood
7560,5/8 WHITE FLORA,5.51,9.92,12.41,89/95, 5/8 ,Wood
870-9013,2 3/8 GOLD BRAIDED ARTIGIANA,7.15,13.94,18.12, 5/8 ,2  3/8 ,Wood
871-9013,1 1/4 GOLD DOUBLE BEADED FLAT,4.54,8.85,11.51, 3/8 ,1  1/4 ,Wood
B925,1 1/2 DIXIE GREY COUNTRY,1.74,3.40,4.42, 1/2 ,1  1/2 ,Wood
B926,1 1/2 YELLOW COUNTRY,1.74,3.40,4.42, 1/2 ,1  1/2 ,Wood
B927,1 1/2 BOURBON ORANGE COUNTRY,1.74,3.40,4.42, 1/2 ,1  1/2 ,Wood
B928,1 1/2 FRENCH TEAL COUNTRY,1.74,3.40,4.42, 1/2 ,1  1/2 ,Wood
B929,1 1/2 PETTICOAT PINK,1.74,3.40,4.42, 1/2 ,1  1/2 ,Wood
B930,1 1/2 SKY BLUE COUNTRY,1.74,3.40,4.42, 1/2 ,1  1/2 ,Wood
B931,1 1/2 MINT JULIP COUNTRY,1.74,3.40,4.42, 1/2 ,1  1/2 ,Wood
B956,3/4 SOUTHERN YELLOW COUNTRY,1.74,3.40,4.42,1, 3/4 ,Wood
B957,3/4 BOURBON ORANGE COUNTRY,1.74,3.40,4.42,1, 3/4 ,Wood
B958,3/4 FRENCH TEAL COUNTRY,1.74,3.40,4.42,1, 3/4 ,Wood
B959,3/4 PETTICOAT PINK COUNTRY,1.74,3.40,4.42,1, 3/4 ,Wood
B960,3/4 SKY BLUE COUNTRY,1.74,3.40,4.42,1, 3/4 ,Wood
B961,3/4 MINT JULIP COUNTRY,1.74,3.40,4.42,1, 3/4 ,Wood
B970,3/8 X 2  BLACK FLOATER COUNTRY,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
B971,3/8 X 2 WHITE FLOATER COUNTRY,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
B972,3/8 X 2 WHISKEY BROWN FLOATER,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
B973,3/8 X 2 MISSISSIPPI MUD FLOATE,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
B974,3/8 X 2 WEATHERED BLUE FLOATER,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
B975,3/8 X 2 DIXIE GREY FLOATER,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
B976,3/8 X 2 SOUTHERN YELLOW FLOATE,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
B977,3/8 X 2 BOURBON ORANGE FLOATER,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
B978,3/8 X 2 FRENCH TEAL FLOATER,3.28,6.40,8.32,1  1/2 , 3/8 ,Wood
BR4216,1 1/2 WALNUT CHARLESTON W/BEAD,3.28,6.40,8.32, 7/16,1  1/2 ,Wood
BR4520,2 MATTE BLACK AUGUSTA SCOOP,3.30,6.44,8.37, 3/8 ,2,Wood
EC1609,3/8 X 2 BRONZE FLOATER VALUCOR,2.22,4.33,5.64,2, 3/8 ,Wood
G2671,3/16 OPEN GRAIN WHITE,3.23,6.30,8.19, 3/4 , 3/16,Wood
G2672,3/16 OPEN GRAIN BLACK,3.23,6.30,8.19, 3/4 , 3/16,Wood
G3001,3/8 X 2 GRAIN DARK GREY FLOATE,5.66,11.04,14.35,1  1/2 , 3/8 ,Wood
G3011,3/8 X 2 GRAIN LIGHT GREY FLOAT,5.66,11.04,14.35,1  1/2 , 3/8 ,Wood
H277,1 3/4 GOLD LEAF BASTILLE,3.68,7.17,9.32, 3/8 ,1  3/4 ,Wood
H3408,2 1/4 HATCH SILVER CROSS,7.76,15.14,19.68,1  3/8 ,2  1/4 ,Wood
