Item #,Description,Line                   Name,Size Decimal,Rabbet Decimal, cost , Chop , Join , Sugg. Retail , AC 
520519,TIGER'S EYE BLOCK,Quarry,1.9375,0.7500, $ 24.18 , $ 39.47 , $ 46.41 , $ 101.70 ,
520520,RED GARNET BLOCK,Quarry,1.9375,0.7500, $ 24.18 , $ 39.47 , $ 46.41 , $ 101.70 ,
520521,LILAC AMETHYST DOME CAP,Quarry,1.1875,1.1875, $ 20.87 , $ 34.11 , $ 40.52 , $ 88.30 ,
520522,ROSE QUARTZ DOME CAP,Quarry,1.1875,1.1875, $ 20.87 , $ 34.11 , $ 40.52 , $ 88.30 ,
520523,WHITE MOONSTONE DOME CAP,Quarry,1.1875,1.1875, $ 20.87 , $ 34.11 , $ 40.52 , $ 88.30 ,
520524,TURQUOISE DOME CAP,Quarry,1.1875,1.1875, $ 20.87 , $ 34.11 , $ 40.52 , $ 88.30 ,
520525,GREEN JASPER DOME CAP,Quarry,1.1875,1.1875, $ 20.87 , $ 34.11 , $ 40.52 , $ 88.30 ,
520526,LAPIS LAZULI DOME CAP,Quarry,1.1875,1.1875, $ 20.87 , $ 34.11 , $ 40.52 , $ 88.30 ,
520527,TIGER'S EYE DOME CAP,Quarry,1.1875,1.1875, $ 20.87 , $ 34.11 , $ 40.52 , $ 88.30 ,
520528,RED GARNET DOME CAP,Quarry,1.1875,1.1875, $ 20.87 , $ 34.11 , $ 40.52 , $ 88.30 ,
520529,FERRIS STEEL TIVOLI DEEP CAP,Tivoli,0.75,1, $ 17.41 , $ 28.50 , $ 34.35 , $ 74.30 ,
520530,JACKPOT GOLD TIVOLI DEEP CAP,Tivoli,0.75,1, $ 17.41 , $ 28.50 , $ 34.35 , $ 74.30 ,
520532,CHERRY ICE TIVOLI DEEP CAP,Tivoli,0.75,1, $ 17.41 , $ 28.50 , $ 34.35 , $ 74.30 ,
520533,JUPITER GREEN TIVOLI DEEP CAP,Tivoli,0.75,1, $ 17.41 , $ 28.50 , $ 34.35 , $ 74.30 ,
520534,VIOLET SIDESHOW TIVOLI DEEP CAP,Tivoli,0.75,1, $ 22.29 , $ 36.41 , $ 43.06 , $ 94.00 ,
520535,JACKPOT GOLD TIVOLI,Tivoli,1,0.4375, $ 11.22 , $ 18.47 , $ 23.32 , $ 49.20 ,
520536,GOLDEN HOUR TIVOLI,Tivoli,1,0.4375, $ 11.22 , $ 18.47 , $ 23.32 , $ 49.20 ,
520537,CHERRY ICE TIVOLI,Tivoli,1,0.4375, $ 11.22 , $ 18.47 , $ 23.32 , $ 49.20 ,
520538,PEGASUS BLUE TIVOLI,Tivoli,1,0.4375, $ 11.22 , $ 18.47 , $ 23.32 , $ 49.20 ,
520539,VIOLET SIDESHOW TIVOLI,Tivoli,1,0.4375, $ 11.22 , $ 18.47 , $ 23.32 , $ 49.20 ,
520540,MERRY GO BROWN TIVOLI,Tivoli,1,0.4375, $ 11.22 , $ 18.47 , $ 23.32 , $ 49.20 ,
520541,GREEN PLEASURE GARDEN TIVOLI,Tivoli,1,0.4375, $ 11.22 , $ 18.47 , $ 23.32 , $ 49.20 ,
520542,LIMELIGHT TIVOLI,Tivoli,1,0.4375, $ 11.22 , $ 18.47 , $ 23.32 , $ 49.20 ,
