category,item,description, cost , dimensions 
BAINBRIDGE,8742B,SOLID WHEAT ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8743B,SOLID SAND ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8744B,SOLID MALACCA ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8745B,SOLID PAMPAS ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8747.8B,GREY 8PLY,  60.30 , 32x40 
BAINBRIDGE,8747B,SOLID GREY ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8748B,SOLID PRATO ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8749B,SOLID CHROME ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8750B,SOLID LOAM ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8751B,SOLID ASH ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8752B,SOLID FANGO ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8755B,SOLID KHAKI,  29.60 , 32x40 
BAINBRIDGE,8756B,SOLID ECRU,  29.60 , 32x40 
BAINBRIDGE,8757B,SOLID EBONY,  29.60 , 32x40 
BAINBRIDGE,8758B,SOLID IVORY,  29.60 , 32x40 
BAINBRIDGE,8759B,SOLID SLATE,  29.60 , 32x40 
BAINBRIDGE,8760B,SOLID PEARL,  29.60 , 32x40 
BAINBRIDGE,878455B,APPLE CIDER,  32.40 , 32x40 
BAINBRIDGE,878503B,ROCOCO CREAM,  32.40 , 32x40 
BAINBRIDGE,878526B,RENAISSANCE BLUE,  32.40 , 32x40 
BAINBRIDGE,878540B,GOTHIC GREEN,  32.40 , 32x40 
BAINBRIDGE,878559B,VICTORIAN CAMEO,  32.40 , 32x40 
BAINBRIDGE,8801B,EARTHSTONE-FEATHERSTONE,  29.80 , 32x40 
BAINBRIDGE,8805B,EARTHSTONE-FLINT,  29.80 , 32x40 
BAINBRIDGE,8809B,FELDSPAR,  29.80 , 32x40 
BAINBRIDGE,8812B,ZINC,  29.80 , 32x40 
BAINBRIDGE,8815B,MUSLIN,  29.80 , 32x40 
BAINBRIDGE,8841B,PHOTO GREY ALPHA -ASH/GREY,  29.80 , 32x40 
BAINBRIDGE,928155B,FIORI GROTTO,  32.40 , 32x40 
BAINBRIDGE,928158B,SOLE GROTTO,  32.40 , 32x40 
BAINBRIDGE,998008B,GOLD BULLION,  32.40 , 32x40 
BAINBRIDGE,998741B,OLD BRONZE RUSTIC ESSENTIALS,  39.20 , 32x40 
